!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",Open feedback
case 292,97364c64-a4ed-408d-bf8c-e43e3048c5d3,5,3,3,6 to 20 books in a year,18 - 21 anos,Feminino,Rondônia,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",3,3,3,3,2,1,3,3,2,,3,3,Gosto de receber recomendações de livros 
case 293,d4487ad4-0c96-4c59-99c3-325e5fa26fc7,5,3,5,6 to 20 books in a year,22 - 25 anos,Feminino,Minas Gerais,Ensino médio completo,Casado(a),Branca,Prefiro não declarar,4,4,4,3,3,3,3,3,3,3,3,4,
case 294,0dedf6e1-f94f-4369-a5ed-b09b74c94aa5,5,3,4,6 to 20 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,3,,4,4,4,4,3,5,5,
case 295,2ba028e5-f523-47da-b6fd-3c9e2a45a29c,5,3,3,6 to 20 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,5,3,1,3,4,5,5,4,5,
case 296,2d48a72c-2928-4dd8-9686-d7d6ed28f72a,5,3,4,More than 100 books in a year,18 - 21 anos,Feminino,Mato Grosso,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,2,4,5,3,5,5,
case 297,34556851-67bb-442d-afeb-a7bb960f95b7,6,3,3,1 to 5 books in a year,22 - 25 anos,Masculino,Paraná,Ensino médio completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,4,4,4,4,4,4,4,4,4,4,4,
case 298,3b8eb7cd-f294-4761-af2e-9b6cb0cae288,5,3,4,20 to 50 books in a year,18 - 21 anos,Masculino,São Paulo,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,4,5,5,4,5,4,3,4,4,5,4,5,
case 299,46620f0b-ef52-42f6-a77e-b58e22c5e32d,5,3,2,6 to 20 books in a year,34 - 37 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Preta,Prefiro não declarar,5,5,5,4,4,3,4,4,4,4,4,4,Ter um espaço no app para os leitores interagirem escrevendo resenhas sobre os livros.
case 300,5d764faf-e0a9-4df4-8f12-a42961216920,5,3,3,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,5,2,4,5,4,4,3,5,5,
case 301,724d11bc-ea72-4ea7-b877-60f47a37d598,5,3,4,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,Prefiro não declarar,4,5,5,5,4,4,5,4,4,3,5,4,Os livros recomendados me surpreenderam por não fazer parte dos mais famosos no momento mas as descrições me instigaram a querer ler as obras
case 302,7fdb901e-f7c7-4c88-9933-05f296aafa3a,5,3,2,More than 100 books in a year,22 - 25 anos,Feminino,Espírito Santo,Ensino médio completo,Solteiro(a),Preta,"Até R$ 813,00",4,4,5,5,4,3,3,4,4,2,4,5,
case 303,8eb0d3d8-10d8-4be9-aca6-439013a07c7d,5,3,2,6 to 20 books in a year,26 - 29 anos,Feminino,Minas Gerais,Superior completo,Casado(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,5,5,5,4,5,5,4,5,4,5,5,
case 304,8f4976f8-9cd3-46cf-8118-79c385cc4648,5,3,4,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,4,4,5,5,5,5,4,4,5,4,4,
case 305,b7d1ccd6-e269-4e21-95c6-0b9b2f091ca5,5,3,3,20 to 50 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,5,4,3,4,4,5,3,3,3,Quando colocar o gênero alí no começo poderia vir só livros do gênero colocado
case 306,cf0b4a19-81c2-43f7-8079-3202fbf933b6,5,3,3,6 to 20 books in a year,22 - 25 anos,Feminino,Paraná,Pós-graduação completa,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,4,3,2,3,2,4,4,2,4,4,
case 307,cfda1d8f-3478-4ba6-b463-178704343b65,5,3,2,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,3,4,4,4,3,5,5,Ótimo aplicativo com uma boa sugestão de livros. Gostei muito! 
case 308,d4f19cce-34d9-48e4-9f45-1afbb6e3f1f6,5,3,5,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,União Estável,Preta,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,4,4,2,4,4,4,5,5,
case 309,e6ed504c-a9ed-4fbd-b505-916fc475bfc9,5,3,3,6 to 20 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,4,5,4,4,4,4,5,
case 310,edd75a3b-33b6-4d3c-a1c1-2b4dba9a3692,5,3,3,6 to 20 books in a year,22 - 25 anos,Feminino,Acre,Superior completo,Solteiro(a),Prefiro não declarar,Prefiro não declarar,4,4,5,4,5,3,4,4,5,4,4,5,
case 311,ee699576-b759-4f22-828c-b539122fad6f,5,3,3,More than 100 books in a year,34 - 37 anos,Feminino,Rio de Janeiro,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",3,4,3,4,3,4,4,4,3,4,4,4,Poderia ter mais livros na lista.
case 312,f61fa232-c475-4d96-b1c1-43818705995b,5,3,3,20 to 50 books in a year,22 - 25 anos,Feminino,Pará,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,4,5,4,3,5,4,4,5,4,5,
case 313,0060a8a6-f873-4d3a-a845-f323453af839,5,3,3,1 to 5 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Solteiro(a),Branca,Prefiro não declarar,4,5,5,4,3,2,4,5,4,5,4,4,"Uma sugestão: quando for recomendado um livro, colocar uma mensagem dizendo que se adequa a outro livro que talvez o leitor já tenha lido, pois os assuntos e as abordagens podem ser parecidos. Exemplo: leitores de Harry Potter podem preferir outros livros sobre magia, bruxaria, etc. Então, com base nessa informação, as recomendações podem se tornar mais específicas por meio do conhecimento sobre as leituras favoritas dos consumidores."
case 314,04153b54-8a03-42b5-8f56-be4c21a175a6,5,3,2,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,Prefiro não declarar,5,5,5,1,5,1,5,5,5,5,5,5,
case 315,20b6012e-9bab-4a0d-9ae2-bfdd9fa49901,5,3,2,6 to 20 books in a year,22 - 25 anos,Feminino,Ceará,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,4,5,5,4,4,5,5,
case 316,26d6e849-537a-499f-90ee-e56b01091865,5,3,4,50 to 100 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,2,5,3,4,5,5,5,5,5,5,5,
case 317,279d4b01-d8a0-4c92-a62c-17f920d1ce66,5,3,4,20 to 50 books in a year,22 - 25 anos,Masculino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,4,5,4,4,4,5,4,5,4,5,
case 318,2ae2dd90-0e52-4266-a74a-e17e1dbe3852,7,3,3,1 to 5 books in a year,18 - 21 anos,Masculino,Piauí,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,4,
case 319,4392511e-4efb-49f7-a26f-4ba3b87cc295,5,3,2,6 to 20 books in a year,22 - 25 anos,Feminino,Paraíba,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,3,4,4,3,5,4,5,5,5,4,4,"Achei um pouco limitado, mas com algumas pequenas melhoras pontuais vai ser um ótimo aplicativo para leitura."
case 320,45919ab5-6faa-409a-9874-bd450092d67e,5,3,5,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 321,4c0a2ff0-7f0b-4ffc-a709-8217c47a8518,5,3,3,1 to 5 books in a year,30 - 33 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,5,5,4,5,4,5,4,4,5,5,"Parabéns pela iniciativa, pelo app e pela promoção da leitura!"
case 322,564b16e1-c16d-469b-9184-0472129af323,5,3,2,6 to 20 books in a year,18 - 21 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Parda,Prefiro não declarar,5,5,5,4,5,3,5,5,3,4,5,5,
case 323,56539005-0788-4a3b-be88-b8d4422d0c12,5,3,5,6 to 20 books in a year,38 - 40 anos,Feminino,Rio Grande do Sul,Ensino médio completo,União Estável,Preta,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,5,4,5,5,5,5,4,Queria poder dizer o nome do livro/ autor e poder procurar no aplicativo. 
case 324,5a0372e0-8148-4c7e-b8c7-7754e66ba22d,5,3,2,More than 100 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior completo,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,4,4,5,5,5,5,5,5,
case 325,5bc18ca9-b376-4c8e-94a0-4d39167ca7a1,5,3,1,1 to 5 books in a year,Mais de 40 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Parda,"Até R$ 813,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 326,61e047ba-8e86-4053-9ce4-1a98e0706577,5,3,3,6 to 20 books in a year,26 - 29 anos,Feminino,Goiás,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,4,4,3,5,4,5,5,5,5,5,
case 327,6d3a6d58-b3ba-42d2-bb07-d9922fa655d0,5,3,3,50 to 100 books in a year,18 - 21 anos,Feminino,Ceará,Ensino médio completo,Solteiro(a),Prefiro não declarar,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,5,4,5,5,5,5,5,5,Colocar quantas estrelas as pessoas deram para os livros que estão sendo recomendado.
case 328,70b406bf-c3bd-4cea-bee3-8e924bf0e0da,5,3,1,20 to 50 books in a year,18 - 21 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,5,1,5,5,5,5,5,5,São incríveis 
case 329,7496a0b1-afdd-4a7a-a3a7-58af06a9bcc9,5,3,4,50 to 100 books in a year,Mais de 40 anos,Feminino,Rio de Janeiro,Ensino médio completo,Casado(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,5,5,5,5,5,5,Fiquei satisfeita com as recomendações 
case 330,88525cbc-5590-4155-81ab-abd5b01a44c9,5,3,3,6 to 20 books in a year,26 - 29 anos,Feminino,Bahia,Pós-graduação incompleta,União Estável,Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,5,4,4,5,5,5,5,5,
case 331,8a4b905a-4bcb-4cd1-afa6-4a1aae6ebbfc,5,3,2,More than 100 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"Acima de R$ 10.427,00",5,5,5,5,5,3,5,5,4,3,5,5,
case 332,a3182d5e-3fed-491b-baef-66ad5136bd84,5,3,1,6 to 20 books in a year,26 - 29 anos,Feminino,Amapá,Superior incompleto,União Estável,Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,5,5,5,5,5,4,5,5,
case 333,a7816863-7924-49b5-b720-14473b79dc44,5,3,5,20 to 50 books in a year,18 - 21 anos,Feminino,Distrito Federal,Ensino médio completo,Solteiro(a),Parda,Prefiro não declarar,5,5,5,5,5,5,5,5,5,4,5,5,"1 ou 2 livros já estavam na minha lista particular de livros que tenho interesse em comprar para ler. E os outros despertaram meu interesse, inclusive foi colocado na minha lista particular… Achei ótima as recomendações! "
case 334,adc65554-7d3c-451b-b1c6-cd809d815897,5,3,4,20 to 50 books in a year,38 - 40 anos,Feminino,Paraná,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,5,4,3,4,5,5,5,4,5,
case 335,b9a6a873-f378-42f8-8380-2bee2347d9d5,5,3,2,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"Acima de R$ 10.427,00",5,5,4,5,4,5,5,5,5,4,5,5,
case 336,c849b6b5-f93e-4a2e-8be2-86ab15f9449f,5,3,4,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio incompleto,União Estável,Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,4,4,5,5,4,5,5,
case 337,cbafa022-aa50-435b-8c43-c004917f331c,5,3,3,20 to 50 books in a year,22 - 25 anos,Masculino,Minas Gerais,Superior completo,Solteiro(a),Parda,Prefiro não declarar,5,4,5,5,5,4,5,5,5,5,5,5,
case 338,cf93ee8b-9cf3-42b6-b2bb-28dbd33c6aa6,5,3,2,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,4,5,5,4,5,3,5,5,5,Colocar mais livros de fantasia com o romance certinhos e escalados.
case 339,d1d34e2e-f9b9-49c2-b776-761864dd65d9,5,3,3,6 to 20 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,5,5,4,4,5,4,5,5,5,5,5,5,
case 340,ed0ab342-b4e9-4602-bdce-1a6ba1e79be8,5,3,3,50 to 100 books in a year,22 - 25 anos,Feminino,Santa Catarina,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,4,5,5,5,4,4,5,5,
case 341,ed4d2756-772d-4a15-9b2a-62a67ed43216,5,3,5,50 to 100 books in a year,26 - 29 anos,Masculino,Rio de Janeiro,Superior incompleto,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,4,5,4,5,5,5,
case 342,fc03cb66-afaf-4f24-a4c5-f12ba3c4e8ed,5,3,3,20 to 50 books in a year,26 - 29 anos,Feminino,Rio de Janeiro,Superior completo,Casado(a),Branca,Prefiro não declarar,5,5,5,4,3,1,5,5,5,5,4,5,
case 343,7dc7ac5b-dc27-4ee7-ab29-4c58b2a0aa7e,5,4,3,50 to 100 books in a year,26 - 29 anos,Feminino,Rio de Janeiro,Ensino médio completo,Casado(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,5,5,3,5,5,1,1,2,5,4,5,Seria interessante ter mais literatura asiática
case 344,b46a59c0-f6f5-46d1-b503-01e1776ab14a,5,4,5,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",2,3,3,3,2,1,3,2,2,2,3,2,
case 345,de9a3d3b-d78b-4982-a36f-39f956c9ffce,6,4,1,20 to 50 books in a year,18 - 21 anos,Feminino,Rondônia,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,2,2,2,4,2,4,4,4,4,"Ótimas sugestões porem foram recomendados livros ""hypes"". Livros totalmente conhecidos de forma geral. Deveria conter uma diversificação maior com mais culturas diferentes. "
case 346,13530b65-653b-4482-ae41-831bb9c1630b,5,4,2,1 to 5 books in a year,22 - 25 anos,Masculino,Minas Gerais,Ensino médio completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",3,2,2,2,2,2,2,3,2,2,2,2,Poderiam indicar livros de autores brasileiros e outros países sem ser EUA.
case 347,48a70529-10d0-417c-88f6-467f38a47358,5,4,3,1 to 5 books in a year,30 - 33 anos,Feminino,São Paulo,Pós-graduação completa,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,4,5,2,3,3,3,3,2,2,2,2,
case 348,69c0c102-f143-4e9e-8307-de244949d50b,5,4,5,20 to 50 books in a year,26 - 29 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",4,2,3,2,4,3,2,3,4,4,3,4,
case 349,e5838889-1df5-4bb8-95eb-e78c61392c96,5,4,2,20 to 50 books in a year,38 - 40 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",3,3,3,3,3,3,5,3,3,3,3,1,
case 350,27be19f4-6333-4283-85ec-2dac6a074072,5,4,5,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,5,5,5,4,5,5,5,5,
case 351,a0fc3a4d-17ef-4910-bb35-846e7e790dbf,5,4,2,20 to 50 books in a year,30 - 33 anos,Feminino,Santa Catarina,Superior completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,4,3,5,2,3,4,4,2,3,4,
case 352,b95d5c5f-149a-447e-9dcc-8380bf180a4c,5,4,4,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,4,5,5,4,3,4,4,4,5,5,
case 353,bfd5ce89-306d-4bed-90df-c1aee46fb410,5,4,3,6 to 20 books in a year,26 - 29 anos,Feminino,Sergipe,Ensino médio completo,Solteiro(a),Parda,"Até R$ 813,00",4,4,5,5,4,4,5,4,4,4,4,5,
case 354,c6bea62a-8b10-4d26-9ae1-4eea06abde5d,5,4,3,6 to 20 books in a year,18 - 21 anos,Feminino,Piauí,Ensino médio incompleto,Solteiro(a),Parda,Prefiro não declarar,4,5,5,4,5,4,3,4,4,4,5,5,"Não achei muitos livros apenas 5 ,para colocar nos favoritos , diversidade e quantidade sempre é bom !"
case 355,d10d3538-5b1f-4be9-b300-0f67a3a2c3c3,5,4,1,6 to 20 books in a year,18 - 21 anos,Masculino,Rio de Janeiro,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,5,4,5,4,5,5,4,4,
case 356,d57d0f7e-f329-4c88-b24e-e624df62d611,5,4,3,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,5,2,3,3,4,3,5,3,4,
case 357,d660828c-1298-424e-8ab0-5e6fd437072c,5,4,4,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,4,5,3,4,4,5,5,4,5,
case 358,0fc43ead-39e7-4a61-af0e-928c01157f95,6,4,3,6 to 20 books in a year,18 - 21 anos,Masculino,Bahia,Ensino médio completo,Solteiro(a),Prefiro não declarar,Prefiro não declarar,5,5,5,5,5,4,5,5,5,4,5,5,Aplicativo muito bom para recomendações.
case 359,10c8023f-819c-48d1-8b48-78c3149fad56,5,4,3,6 to 20 books in a year,34 - 37 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,5,5,5,5,5,4,4,5,5,
case 360,3690c2e2-5cfb-42ed-b0d8-6c546b87e759,5,4,4,6 to 20 books in a year,18 - 21 anos,Feminino,Paraná,Ensino médio completo,União Estável,Amarela,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 361,697f8bfe-a7f1-43a6-ab4e-eb4811fb6ecc,5,4,1,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Prefiro não declarar,"Até R$ 813,00",5,3,5,5,4,5,4,5,4,5,4,3,
case 362,84bfb12d-7992-45ac-87c0-890086b783fb,5,4,2,6 to 20 books in a year,18 - 21 anos,Feminino,Rio Grande do Norte,Ensino médio incompleto,Solteiro(a),Parda,"Até R$ 813,00",5,4,5,5,4,3,4,5,5,5,5,5,"O aplicativo é bem legal me ajudo, e consegui ver os livros do gênero que mais gosto "
case 363,94ea70d1-90fd-438a-8119-323cf2b18747,5,4,5,20 to 50 books in a year,38 - 40 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,5,5,5,5,5,5,5,"Se o aplicativo além de nos recomendar livros puder contabilizar os lidos e interagir com outras pessoas, seria sensacional"
case 364,e86c4480-fe9d-4f63-acfa-39e7cd63e9f5,5,4,2,20 to 50 books in a year,26 - 29 anos,Feminino,Rio Grande do Sul,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,4,5,5,4,5,5,5,5,5,
case 365,f0982e0a-2965-4c06-bdb1-bdc5564538d9,6,4,3,1 to 5 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,4,5,5,5,5,5,5,
case 366,fe5151f5-234e-4b46-851b-8ca8af971505,5,4,4,50 to 100 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,3,4,5,5,5,4,4,
case 367,e8a3c662-0ddd-4252-9e56-251002256e5a,5,5,3,6 to 20 books in a year,38 - 40 anos,Feminino,Ceará,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,4,5,5,5,5,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,,97